protein_annotation	label
UPF0200 protein TCARB_1956	1
Immunoglobulin-binding regulator A-like protein	2
Phage regulatory protein Rha family	2
Putative host-nuclease inhibitor protein	2
Mixed-linked glucanase	2
Putative bifunctional dihydrofolate reductase-thymidylate synthase	2
DNA repair protein RAD57	2
Protein kti12	2
TelA-like protein SAS1347	2
ABC-type sugar transport system substrate-binding protein/quercetin dioxygenase-like cupin family protein	2
Putative partitioning protein	2
ActC protein	2
DUF771 domain-containing protein	1
Sel1 repeat protein	2
HTH-type transcriptional repressor allR Negative regulator of allantoin and glyoxylate utilization operons	2
Tail component of prophage protein	2
Phosphopantothenate--cysteine ligase	2
Intron endonuclease	2
Muramidase	2
RNase adapter protein RapZ	2
Two-component system, LytT family, response regulator	2
SprT-like family protein	2
Uncharacterized protein DUF2815	1
Gamma-Glu-GABA hydrolase	2
FlgD_ig domain-containing protein	2
Peptidoglycan-binding domain 1	2
Kelch-like 26	2
Uncharacterized lipoprotein YddW, UPF0748 family	1
Ribosomal-protein-alanine acetyltransferase	2
ATP-dependent sacrificial sulfur transferase LarE	2
Short-chain dehydrogenase/reductase family protein	2
Galactose oxidase/kelch, beta-propeller	2
Spfh domain / band 7 family, putative	2
CMP/dCMP-type deaminase domain-containing protein	2
Host cell factor C1a	2
Putative GpT-like prophage major head subunit protein	2
Phage minor tail protein G	2
Replication initiation and membrane attachment protein	2
sodium channel subunit beta-2-like isoform X2	2
uncharacterized protein	0
TciA	2
Putative sodium/glutamate symporter	2
Protein of uncharacterized function (DUF2793)	1
P22 repressor protein c2	2
Pyrimidine reductase	2
Putative peptidoglycan binding protein	2
DNA sulfur modification protein, putative	2
Spherulin-1A	2
WGS project CAEQ00000000 data, annotated contig 2446	0
Polyhydroxyalkanoate synthesis regulator phasin	2
ATPase involved in DNA replication HolB small subunit	2
Phosphopantothenatecysteine ligase	2
Short chain oxidoreductase	2
Phage major tail sheath protein	2
Putative phage-related lipoprotein	1
Protein phosphatase	2
KLHL18	2
Signal recognition particle 54 kDa protein, chloroplastic	2
Flp pilus assembly protein secretin CpaC	2
PREDICTED: Reverse mRNAase zinc-binding domain	2
ATP-dependent helicase IRC3	2
Phage side tail fiber protein	2
SMI1 / KNR4 family protein	2
Putative Phage tail sheath protein	2
Type 4 pili secretin (Outer membrane porin)	2
RpiR family transcriptional regulator	2
uncharacterized protein LOC108838554	0
HSP60 protein	2
Phage-like element PBSX protein XkdB	2
PUB2 protein	2
Cell envelope integrity protein TolA	2
Orf protein	0
HTH-type transcriptional repressor RghR	2
Aminoacyl-tRNA hydrolase	2
IS1 encoded protein	2
Ribosylnicotinamide kinase	2
Uncharacterized LOC105921498	0
Nucleotidyltransferase domain protein	2
Choline binding protein A	2
NEQ329	0
Putative tail protein	2
DNA methylase N-4/N-6	2
DNA cytosine methylase	2
tRNA pseudouridine synthase B	2
CSD domain-containing protein	2
Predicted RecA/RadA family phage recombinase	2
Lambda phage type II DNA modification methyltransferase	2
BRO N-terminal domain containing protein	2
Stage 0 sporulation protein J	2
DUF1376 domain-containing protein	1
NrtR-regulated NrtX	2
HTH-type transcriptional regulator AbgR	2
ATP-grasp domain, R2K clade family 2	2
Zinc-binding, ComEB family dCMP deaminase	2
Putative zinc knuckle	2
uncharacterized protein LOC107800652	0
T4 prohead core scaffold protein	2
Ribonucleoside-diphosphate reductase subunit M2-like isoform X1	2
Phage-like endonuclease	2
Putative GatB/Yqey family protein	2
Butyrophilin subfamily 1 member A1-like	2
D-alanyl-D-alanine dipeptidase	2
AGAP003832-PA	0
Smg protein	2
Gamma-glutamylcyclotransferase, AIG2-like protein	2
Kelch repeat-containing protein 2-like	2
VPDSG-CTERM domain-containing protein	2
Thiosulfate sulfurtransferase	2
NEQ500	0
podocin	2
GNAT family N-acetyltransferase	2
Flp pilus assembly protein, secretin CpaC	2
HTH-type transcriptional regulator KipR	2
GDSL-like protein Lipase/Acylhydrolase	2
Chaperonin HSP60, mitochondrial	2
Parallel beta helix pectate lyase-like protein	2
Bacteriophage terminase small subunit TerS	2
Chaperonin 60B2	2
Integrin beta 8	2
Putative Phage integrase	2
Terminase domain protein	2
Putative endonucleases	2
Putative morphogenetic function	2
Differentiation regulon	2
Si:ch211-256e16.3	0
Methyl-accepting chemotaxis protein II	2
Acyl-CoA synthetase	2
DUF4855 domain-containing protein	1
M28 family peptidase	2
Dna replication factor c subunit	2
Putative bacteriophage tail completion protein S (GpS)	2
Minor tail family protein M	2
BTB-kelch protein	2
Kelch 3 and Kelch 4 and Cytochrom B561 domain con taining protein	2
1,5-anhydro-D-fructose reductase	2
p22 erf-like protein	2
Nucleoside triphosphate hydrolase protein	2
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 3	2
Bacteriophage head-to-tail connecting protein	2
DNA recombination-mediator protein A, drpA	2
VrlC	2
Reducing polyketide synthase FUB1	2
Type III restriction family enzyme, res subunit	2
Highly reducing polyketide synthase	2
Putative adenylosuccinate synthase	2
S-(Hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	2
Highly reducing polyketide synthase ACRTS2	2
DnaJ -like protein subfamily B member 1	2
M6 family metalloprotease domain-containing protein	2
Gp47 phage protein	0
ParB-like partition s domain protein	2
Gifsy-2 prophage protein	0
Uncharacterized protein DUF2272	1
TSA: Wollemia nobilis Ref_Wollemi_Transcript_25411_1370 transcribed RNA sequence	0
Peptidase M15-like protein	2
Ribonucleotide reductase small protein	2
Kelch repeat-containing	2
D-lyxose/D-mannose family sugar isomerase	2
Phage antirepressor protein	2
Phage-related protein, tail component	2
probable peptide chain release factor C12orf65 homolog, mitochondrial	2
RABEPK	2
Transporter, CPA2 family protein	2
Integrase (Gifsy-1 prophage protein)	2
Bacteriophage lambda tail assembly I	2
DDE endonuclease	2
Exonuclease SbcCD, D subunit	2
Phosphoesterase (MutT family)-like protein	2
Bbp50	0
Orf451	0
Carcinoembryonic antigen-related cell adhesion molecule 1-like	2
Carrier domain-containing protein	2
CDP-glucose 4,6-dehydratase	2
TRPL translocation defect protein 14 isoform X2	2
Type I toxin-antitoxin system SymE family toxin	2
6-carboxy-5,6,7,8-tetrahydropterin synthase	2
KpsF/GutQ family protein, arabinose-5-phosphate isomerase	2
Probable amidotransferase	2
Retrotransposon protein	2
Hypothetical genomic island protein	0
DUF1833 family protein	1
AA_kinase domain-containing protein	2
Copper-binding protein (NosD)	2
YciK protein	2
UvrABC complex, subunit B	2
Proteasome subunit beta type-8	2
Phage portal protein BeeE	2
Probable lipase/esterase	2
Protein ninB	2
37-kD nucleoid-associated bacterial family protein	1
GDP-L-fucose synthase	2
Putative peptide chain release factor C12orf65, mitochondrial	2
CD200 receptor 1 like	2
Probable bacteriophage protein	0
Starvation protein B	2
Plasmid-related protein	1
Peptidoglycan-binding domain-containing protein	2
HTH-type transcriptional regulator for conjugative element SXT	2
Uncharacterized protein (DUF697 family)	1
SNF2 N and Helicase C domain containing protein	2
M4 family metallopeptidase	2
Chromosome 2 SCAF14781, whole genome shotgun sequence	0
Conjugative relaxase domain-containing protein, TrwC/TraI family	2
Parallel beta-helix repeat-containing protein	2
BTB POZ domain	2
Heat shock protein 60, mitochondrial chaperonin, putative	2
Stress protein (Modular protein)	2
SLAM family member 9-like isoform X1	2
5'-deoxynucleotidase SO_2484	2
Phage exonuclease Putative phage-encoded enzyme involved in integration-recombination	2
Threonine synthase	2
Gp12	0
HTH_ParB domain-containing protein	2
RIR2B	2
Kelch domain-containing 8A	2
Para-aminobenzoate synthase, amidotransferase component	2
Lztr1 protein	2
Putative methylase N-4/N-6 domain protein	2
Putative mitochondrial ATP-dependent helicase irc3	2
Uncharacterized protein with gpF-like domain	2
26S proteasome ATPase subunit	2
DUF1133 family protein	1
Phage major tail protein, phi13 family subfamily	2
Cleavage stimulation factor subunit 3	2
Kelch domain protein	2
HB1, ASXL, restriction endonuclease HTH domain	2
Structural phage protein	2
Inositol-1-monophosphatase	2
rab9 effector protein with kelch motifs	2
O-acyl-ADP-ribose deacylase 1	2
Phosphoethanolamine N-methyltransferase 2	2
D-glucuronyl c5-epimerase	2
Putative bacteriophage domain protein	0
Genome sequencing data, contig C292	0
Nitrite reductase (NAD(P)H), large subunit	2
Chitinase A1	2
RNA pyrophosphohydrolase	2
Minor head protein	2
Terminase_3C domain-containing protein	2
Oxidative stress regulatory protein OxyR	2
TRPL translocation defect protein 14	2
Intronic ORF	0
Mo25-like protein	2
Translation initiation factor 2 beta subunit (eIF-2beta)/eIF-5	2
Uncharacterized protein DUF1320	1
PCP degradation transcriptional activation protein	2
DUF3631 domain-containing protein	1
Similar to serine/threonine protein phosphatase	2
D5-like helicase-primase	2
Small heat shock protein	2
Cell wall-binding repeat-containing protein	1
Pathogenesis-related transcriptional factor	2
CYFA0S26e01376g1_1	0
YwqA protein	2
HNHc domain-containing protein	2
Jacalin-type lectin domain-containing protein	2
Exonuclease, putative	2
NUDIX_4 domain-containing protein	2
TIR protein	2
Stalled replication fork rescue ATPase	2
Cell division protein ZapE	2
Intein	2
DUF2586 domain-containing protein	1
Bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	2
Virulence-associated E domain protein	2
Siphovirus superfamily	0
Putative DNA repair exonuclease	2
Uracil-DNA glycosylase superfamily	2
Chitinase	2
Ectodermal-neural cortex 1	2
Virion core protein (Lumpy skin disease virus)	2
Band 7/Mec-2 family protein, putative (Modular protein)	2
Gp25	0
GTP cyclohydrolase 1	2
Putative mitochondrial chaperone BCS1	2
Lipopolysaccharide core biosynthesis protein RfaZ	2
Mlr8530 protein	0
Transcriptional activator protein lysR	2
Phage tail sheath protein, putative	2
Head portal protein	2
uncharacterized protein LOC108824702	0
Phospho-acceptor domain-containing protein	2
Phage associated structural protein	2
Sulfate adenylyltransferase subunit 2 cysD	2
Phage-related DNA polymerase	2
DNA recombination and repair protein	2
Type VI secretion system Vgr family protein	2
transitional endoplasmic reticulum ATPase-like	2
Metal-dependent phosphohydrolase, HD subdomain	2
DNA ligase III	2
GroES-like protein	2
Aspartyl-tRNA amidotransferase subunit B	2
ADP-ribose 1''-phosphate phophatase related protein	2
Antitoxin VapB12 (Modular protein)	2
TAP complex multifunctional esterase	2
Germination-specific amidase	2
Zinc finger BED domain-containing protein 5	2
RelE family toxin-antitoxin system	2
Putative Deoxynucleoside kinase	2
Bifunctional (P)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	2
Sodium:proton exchanger	2
Putative lumenal protein	2
T-cell surface antigen T4/Leu-3	2
LAGLIDADG (Mitochondrion) protein	2
LysR family transcriptional regulator YeiE	2
Glucose-1-phosphate thymidylyltransferase	2
Predicted chitinase	2
Putative DNA repair and recombination protein RAD54B	2
Flavorubredoxin	2
Ribonucleotide reductase, small chain-domain containing protein	2
Prophage antirepressor (Plasmid)	2
NAD+--asparagine ADP-ribosyltransferase	2
Phage-related tail protein (GpU)	2
TraA protein	2
Phage protein Gp46	0
CRISPR-associated protein Cas2, E. coli subfamily	2
ParB partition protein	2
Late competence operon required for DNA binding and uptake	2
Rubredoxin-like domain-containing protein	2
[SSU ribosomal protein S5P]-alanine acetyltransferase	2
Bacteriophage resistance protein	2
Ras guanine nucleotide exchange factor F	2
KLDC3	2
Head-to-tail joining protein, putative	2
Swim zinc finger domain protein	2
Recombinase NinG	2
DNA ligase-associated DEXH box helicase	2
Uncharacterized protein involved in type VI secretion and phage assembly	2
Putative rna drb0094 family	2
Bacteriophage CI repressor helix-turn-helix domain protein	2
NLI interacting factor	2
SLAF6 protein	2
Aste57867_23096 protein	0
Putative nuclear receptor 2c2 associated protein	2
ATP cone domain protein	2
Phosphoserine phosphatase 1	2
CI family repressor	2
Metal transporter Nramp2-like	2
Deoxycytidylate deaminase, dCMP deaminase	2
Alpha-D-glucose 1-phosphate phosphatase YihX	2
FtsZ 2	2
Phage tail sheath protein fi-like protein	2
DUF3991 domain-containing protein	1
dTDP-L-rhamnose 4-epimerase	2
ExeAgspA	2
Tellurium resistance protein TerC	2
Potassium transporter Kef	2
LysR family transcriptional regulator, regulator for bpeEF and oprC	2
Glutathione synthase/ribosomal protein S6 d	2
Uncharacterized protein DUF723	1
Receptor protein-tyrosine kinase	2
AP2 domain-containing protein (Modular protein)	2
Capsid-like protein	2
Putative conserved protein YtfP, gamma-glutamylcyclotransferase (GGCT)/AIG2-like family	2
3-oxoacyl-[acyl-carrier-protein] reductase FabG	2
DUF1549 domain-containing protein	1
Aspartyl/asparaginy/proline hydroxylase	2
Exodeoxyribonuclease V	2
AAA-ATPase	2
Tail tape measure protein, putative	2
SUN domain-containing protein 1	2
XRCC3	2
Domain of uncharacterized function (DUF3846)	1
Macro domain containing protein	2
Phosphoribosyltransferase, putative	2
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	2
PriCT_1 domain-containing protein	2
Bifunctional non-homologous end joining protein LigD	2
Oxidoreductase family, NAD-binding Rossmann fold protein	2
DUF2201_N domain-containing protein	1
(Uracil-5)-methyltransferase	2
PNPLA domain-containing protein	2
DNA-directed RNA polymerase 1b mitochondrial	2
Ribose phosphate pyrophosphokinase	2
Ribonucleoside-diphosphate reductase, alpha subun it domain protein	2
N-terminal acetyltransferase complex ARD1 subunit-like protein A	2
Putative ovule protein	2
Putative hypothetical bacteriophage protein	0
Kazal-like domain-containing protein	2
5'-deoxynucleotidase VP0926	2
Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase	2
Putative 3'-5' exonuclease related to the exonuclease domain of PolB	2
SdaC, Amino acid permease	2
LysM repeat-containing protein	2
YjbQ family protein	2
FAD-dependent thymidylate synthase, inactivated by insertion	2
RadC-like JAB domain-containing protein	2
Head-to-tail connecting protein	2
collagen alpha-1(XII) chain	2
AAA ATPase central domain protein	2
Uncharacterized low-complexity proteins	0
Putative DNA processing protein	2
DUF2612 domain-containing protein	1
cell surface glycoprotein CD200 receptor 2-like	2
LexA family repressor/S24 family protease	2
VirE domain protein	2
Putative nucleoside 2-deoxyribosyltransferase	2
Uncharacterized protein DUF4091	1
Transposase and inactivated derivatives	2
Uncharacterized protein YqaJ	0
Glycosyltransferase involved in cell wall biosynthesis/ubiquinone/menaquinone biosynthesis C-methylase UbiE	2
Ubiquitin-activating enzyme E1 1-like isoform X1	2
HflC protein, putative	2
IPTL-CTERM protein sorting domain-containing protein	2
Transcriptional regulator ChbR	2
Unplaced genomic scaffold K443scaffold_102, whole genome shotgun sequence	0
Putative chaperone protein DNAj	2
Stomatin (EPB72)-like 2	2
60S ribosomal protein L23	2
Putative nicotinamide phosphoribosyltransferase	2
ATPase family gene 2 protein	2
DNA damage checkpoint control protein RAD17	2
Lipolytic enzyme G-D-S-L family	2
Putative Tail fiber assembly protein	2
Ribosomal-protein-alanine acetyltransferase RimI	2
SBD domain-containing protein	2
Kelch repeat and BTB domain-containing protein 6	2
Dual-specificity RNA methyltransferase RlmN	2
Sigma-70-like protein	2
GRANULINS domain-containing protein	2
Cell wall hydrolase SleB	2
Putative RNA binding protein	2
Helicase swr1	2
Putative phage head-tail adaptor	2
Glycoside hydrolase family 76 protein	2
Putative DNA replication protein	2
Putative Hsp20 family chaperone	2
Transcription regulator HTH, LysR	2
Lasso peptide isopeptide bond-forming cyclase	2
TonB-dependent receptor	2
erlin-1	2
Putative transcriptional regulator Nlp	2
uncharacterized protein LOC109505357	0
Constituent protein	0
Gp29	0
ATPase_2 domain-containing protein	2
E3 ubiquitin-protein ligase WAV3	2
Putative BCS1 protein	2
Putative SPP1 gp7 family phage head morphogenesis protein	2
2-deoxy-D-gluconate 3-dehydrogenase	2
Ribonucleotide reductase subunit	2
Putative VWA domain-containing protein	2
Stomatin family protein	2
Hca operon transcriptional activator	2
LysR_substrate domain-containing protein	2
Bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase	2
TnsA endonuclease N terminal	2
Putative Phage major capsid protein, HK97 family	2
Chromatin structure-remodeling complex SYD-like isoform X1	2
NfeD domain-containing protein	2
MS115 putative beta-agarase	2
Nudix hydrolase 23, chloroplastic	2
RTA1 domain-containing protein	2
Circadian clock protein KaiB	2
Putative phage regulatory protein Rha family	2
Putative phiE125 gp8 family phage protein	0
Putative phage protein, putative large terminase	2
ATP-dependent helicase/nuclease subunit A	2
Type III restriction enzyme res subunit:DEAD/DEAH box helicase-like	2
Clpp/crotonase-like domain	2
Kelch protein 10	2
PUA-like domain-containing protein	2
Protease subunit of atp-dependent clp protease	2
Beta-lactamase domain-containing protein	2
Bacteriophage lambda gpa	2
Alginate O-acetylation protein AlgJ	2
VWA-like domain	2
Integrase/recombinase XerC	2
Type III-B CRISPR module RAMP protein Cmr6	2
Regulatory helix-turn-helix protein, lysR family	2
Prophage MuMc02 protein	0
Plasmid stablization protein ParB	2
Nucleoside-diphosphate-sugar pyrophosphorylase	2
Probable bacteriophage t7-related protein protein	0
YetN	2
Terminase	2
Phosphoesterase, DHH family protein	2
Thymidylate synthase THY1	2
NPK1-related protein kinase	2
Alginate biosynthesis protein AlgA	2
Snf2 family protein	2
Phage_lysozyme2 domain-containing protein	2
LigC protein	2
Cyclic di-GMP phosphodiesterase Gmr	2
DNA repair protein RAD51	2
SEC10/PgrA surface exclusion domain protein	2
HNH Cas9-type domain-containing protein	2
Single stranded DNA-binding protein, phage-associated	2
Tail length determinator	2
MoxR-like ATPase	2
Cox2	2
Ubiquitous surface protein A 2	2
Nitrite reductase [NAD(P)H] large subunit	2
Ribonuclease R winged-helix domain-containing protein	2
Phage terminase, small subunit, putative, P27 family	2
Cohesin domain-containing protein	2
uncharacterized protein LOC108267283 isoform X3	0
YadA-like family protein	2
HEPN_Toprim_N domain-containing protein	2
Penta-phosphate guanosine-3'-pyrophosphohydrolase	2
Surface glycoprotein	2
DNA methyltransferase 2	2
RNA polymerase II second largest subunit	2
Putative bacteriophage protein GP26	0
Homing endonuclease I-DmoI	2
DNA-binding transcriptional regulator, CsgD family	2
Chromosome undetermined SCAF15099, whole genome shotgun sequence	0
DNA polymerase-3 subunit beta	2
Putative Asparagine synthetase (Glutamine-hydrolyzing) 1	2
YfdR protein	2
Putative hydrolase, NUDIX family	2
Amino acid permease	2
Rhizoctonia solani AG1-IB WGS project CAOJ00000000 data, isolate 7/3/14, contig 16572	0
Large adhesin	2
Ubiquitin thioesterase OTU1	2
Carbamoyl-phosphate synthase large subunit	2
uncharacterized protein LOC113063157 isoform X1	0
SPFH domain-containing protein/band 7 family protein	2
Caudo_bapla_RBP domain-containing protein	2
Uridine diphosphate glucose pyrophosphatase NUDT22	2
Rubredoxin reductase	2
ATP-dependent zinc metalloprotease FtsH 4	2
Sensory transduction protein LytT	2
Putative efflux transporter, RND family, MFP subunit	2
Bacteriophage tail fiber protein	2
Phage terminase small	2
Nucleoside-diphosphate sugar epimerase	2
Botulinum neurotoxin type X	2
Uncharacterized protein DUF4065	1
Metallo-dependent phosphatase	2
Transmembrane protein 41-like protein	2
Type I-E CRISPR-associated endoribonuclease Cas2	2
RliB protein	2
Terminase small subunit G1P	2
DREV methyltransferase	2
Mte8-like protein	2
Replication-associated recombination protein A	2
Influenza virus NS1A-binding protein-like	2
PHD domain-containing protein	2
RAD9 checkpoint clamp component B	2
AP2/ERF domain-containing protein	2
Pyridine nucleotide-disulfide oxidoreductase/Reductase C-terminal	2
Metal-dependent phosphohydrolase, hd subdomain	2
Phage tail fiber protein (Modular protein)	2
Putative phage protein Rz	2
Helicase, RecD/TraA family	2
Concanavalin A-like lectin/glucanase domain-containing protein	2
Phosphoribosyl pyrophosphate synthetase associated protein 1	2
ATP-dependent zinc metalloprotease YME1-like protein	2
Kelch-like protein 6	2
Putative DNA segregation ATPase FtsK/SpoIIIE-like protein	2
Putative glucosamine 6-phosphate N-acetyltransferase	2
ATPase involved in DNA repair, phage associated	2
Immunoglobulin-binding regulator B family protein	2
HD domain containing protein	2
Cysteinyl-tRNA synthetase	2
Pre-pilin like leader sequence	2
Z57r protein	0
Gam protein	2
PD-(D/E)XK nuclease family protein	2
Tat pathway signal sequence domain protein	2
Sodium/hydrogen exchanger 7	2
Protein containing phage integrase catalytic core domain	2
Unplaced genomic scaffold GYMLUscaffold_19, whole genome shotgun sequence	0
YPR024Wp-like protein	0
WGS project CAEQ00000000 data, annotated contig 1384	0
Atp-dependent metalloprotease	2
RuBisCO large subunit-binding protein subunit alpha, chloroplastic	2
kelch-like protein 12 isoform X1	2
Peptidase, family S24	2
20S proteasome, regulatory subunit beta type PSMB1/PRE7	2
NUDIX hydrolase domain-like protein	2
Putative oxidoreductase	2
ISBma1, transposase, interruption-N	2
SOS-response transcriptional repressor, LexA	2
Chromodomain-helicase-DNA-binding protein, putative	2
KpsF/GutQ family protein	2
GLUG domain protein	2
Glutathione synthetase	2
Polynucleotide kinase 3-phosphatase	2
ATP-dependent RNA helicase me31b	2
Dynein heavy chain	2
Nicotinamide phosphoribosyltransferase 1	2
Diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(S)	2
chromatin-remodeling complex ATPase chain Iswi-like	2
Putative SAM dependent methyltransferase	2
HAD hydrolase-like protein	2
Protein stichel-like 1	2
CBL-interacting protein kinase 33-like	2
SJCHGC07835 protein	0
Klhl20 protein	2
Uncultured bacterium extrachromosomal DNA RGI00234	0
DNA-binding transcriptional dual regulator	2
phosphoribosyl pyrophosphate synthase-associated protein 2 isoform X2	2
GIY-YIG catalytic domain-containing protein	2
Ricin B-type lectin domain-containing protein	2
T6SS_Vgr domain-containing protein	2
Clp amino terminal domain-containing protein, pathogenicity island component	2
Prohibitin 6	2
UmuD protein	2
Prophage MuSo2, DNA circulation protein, putative	2
Gut Q protein	2
D-alanyl-D-alanine carboxypeptidase family protein	2
Gene transfer agent family protein	0
Gp58-like protein	0
AraC-like protein	2
Nucleoside-diphosphate-sugar epimerase	2
Kelch repeat domain, putative	2
Bacterial pullanase-associated domain	2
Putative nuclease SbcCD subunit C	2
Diguanylate phosphodiesterase	2
Putative stress adaptation protein	2
Predicted transcriptional regulators	2
Chloramphenicol resistance protein	2
Vertebrate gliacolin-like protein	2
Snf2 related CREBBP activator protein	2
Phosphoribosyl pyrophosphate synthase	2
Nitrate/nitrite transporter	2
Phage-related prohead protease	2
Terminase large subunit, N-terminal region	2
(diamondback moth) hypothetical protein	0
aspartate beta-hydroxylase domain-containing protein 2 isoform X1	2
Os12g0470700 protein	0
Putative oxidoreductase subunit	2
SDR family epimerase/dehydratase	2
YJL026Wp-like protein	0
Mannose-1-phosphate guanylyltransferase rfbM	2
ECF RNA polymerase sigma factor SigK	2
Lantibiotic protection ABC superfamily ATP binding cassette transporter	2
Bacteriophage lambda integrase, N-terminal domain	2
MGME1	2
DNA repair protein Rad51	2
Gene Transfer Agent	0
MurNAc-LAA domain-containing protein	2
Putative exonuclease VIII, ds DNA exonuclease encoded by prophage	2
Prohibitin 2b	2
Protein-like protein	0
Epimerase/dehydratase	2
erlin-1-like isoform X1	2
Tetratricopeptide repeat-containing protein	2
Type I restriction enzyme EcoAI R protein	2
Roi domain protein	2
Pre-B-cell colony-enhancing factor-like protein	2
Ubiquitin-associated domain/translation elongation factor EF-Ts	2
KLTH0F03256p	0
CYTB_CTER domain-containing protein	2
uncharacterized protein YmfN-like	2
6-phosphofructo-2-kinase-domain-containing protein	2
uncharacterized protein LOC108834657	0
Tetratricopeptide repeat protein	2
Intein-containing protein	2
Cyclic-di-AMP phosphodiesterase	2
Putative RNA methylase	2
Os07g0598300 protein	0
Ribosomal protein S27E	2
BQ5605_C026g10214 protein	0
Type I restriction enzyme EcoKI subunit R	2
Homogentisate 1,2-dioxygenase	2
Type 3 secretion system secretin	2
UvrD-helicase domain-containing protein	2
Omn10	2
TRAP transporter solute receptor	2
Ice nucleation protein	2
ClpP family protease	2
Phage portal protein, HK97	2
Putative phage repressor protein CI	2
DNA replication protein DnaC, putative	2
Site-specific integrase	2
uncharacterized protein LOC113075988 isoform X2	0
Threonine ammonia-lyase	2
Kelch-like protein 25	2
Unplaced genomic scaffold supercont2.7, whole genome shotgun sequence	0
Pentapeptide repeats (8 copies)	2
Serine/threonine-protein kinase Nek6-like	2
DEAD-box family helicase	2
YfaP family protein	2
Peptidoglycan hydrolase flgJ	2
Putative cell wall hydrolase	2
G patch domain and KOW motifs-containing protein	2
Putative alcohol dehydrogenase	2
Type I fatty acid synthase, putative	2
Thiamine biosynthesis protein ThiS	2
Protein CdcH	2
DNA repair and recombination protein, putative helicase	2
Tail fiber assembly protein	2
ribonucleoside-diphosphate reductase subunit M2-like isoform X2	2
Cyclic di-GMP phosphodiesterase YfgF	2
Glr1837 protein	0
Spindle-defective protein 2	2
CopG family transcriptional regulator	2
Hin recombinase	2
Transcriptional regulator LysR	2
Putative three prime repair exonuclease 1	2
Intraflagellar transport protein 25	2
KLH24	2
von Willebrand factor type A (VWA) domain	2
Related to ADP-ribose 1''-phosphate phosphatase	2
Plasmid replication protein	2
SbcCD related DNA repair protein	2
DNA topoisomerase 3	2
Chaperonin GroL	2
Putative phage-encoded peptidoglycan binding protein	2
HBL038Cp	0
ATP-dependent Clp protease adaptor protein ClpS-domain-containing protein	2
Lsr2 protein	2
CYTOSOL_AP domain-containing protein	2
Asparagine synthetase (Glutamine-hydrolyzing) 1	2
Non-homologous end-joining DNA ligase	2
Kelch-like protein 33	2
Paraaminobenzoate synthase amidotransferase component EC 26185 CDS	2
PVL ORF-50 family protein	0
Type III restriction enzyme res subunit	2
RING finger 151-like isoform X1	2
Contig93, whole genome shotgun sequence	0
S23 ribosomal protein	2
Methyl-accepting chemotaxis protein Tar	2
Nucleoside-diphosphate-sugar pyrophosphorylase family protein	2
dCMP deaminase	2
Poly [ADP-ribose] polymerase	2
Viral-enhancing factor putative	2
Phage tail protein I	2
Type i restriction enzyme r subunit	2
Tail sheath protein	2
Uncharacterized protein DUF2163	1
YLP motif-containing protein 1-like isoform X2	2
AraC-like ligand binding domain protein	2
SLAM family member 5 isoform X2	2
GH73	2
Adenine phosphoribosyltransferase	2
ATP-dependent DNA helicase RecQ	2
SigE family RNA polymerase sigma factor	2
Portal protein, lambda family	2
Metallophosphoesterase Mre11-like protein	2
Putative leucine-zipper-like transcriptional regulator 1	2
Flagellin and related hook-associated protein	2
Putative Leucine-rich repeat receptor-like protein kinase family protein	2
Ribonucleotide reductase regulatory subunit M2	2
Short chain dehydrogenase family protein	2
FH protein interacting protein FIP2	2
RECA_2 domain-containing protein	2
phosphopantothenate--cysteine ligase 2-like isoform X2	2
inner nuclear membrane protein Man1-like isoform X1	2
Ribonucleosidetriphosphate reductase, adenosylcobalamin-dependent	2
Bacteriophage terminase large (ATPase) subunit and inactivated derivatives-like protein	2
DUF4157 domain-containing protein	1
Lipase (Class 3)	2
Protein NolC	2
RRM domain-containing protein	2
Putative Fels-1 prophage tail assembly protein	2
Methyltransferase type 12	2
Murein hydrolase activator EnvC	2
Primosomal replication protein N	2
Head morphogenesis protein SPP1 gp7	2
Biphenyl 2,3-dioxygenase ferredoxin reductase subunit/benzene/toluene dioxygenase ferredoxin reductase subunit	2
Antiviral helicase SKI2	2
Phage Integrase	2
Putative baseplate structural protein	2
Transcriptional repressor protein korB	2
Predicted phage baseplate assembly protein	2
von Willebrand factor A	2
Putative carcinoembryonic antigen-related cell adhesion molecule 1	2
Prophage PssSM-01, Orf5	0
Spore germination protein YaaH	2
Probable DNA polymerase III epsilon chain	2
Bifunctional ATP-dependent DNA helicase/DNA polymerase III subunit epsilon	2
Galactose oxidase/kelch repeat superfamily protein	2
DUF499 domain-containing protein	1
Helix-turn-helix domain of transposase family ISL3	2
PAB8 protein	2
Appr-1-P processing enzyme family protein	2
Caudovirales tail fiber assembly protein, lambda gpK	2
IS21 family transposase ISRme9	2
